ID Number,Number,Image,Topic,Reading,Front,Back,
221,23,,Ethical and Professional Standards,2,What is Standard IV (C): Responsibilities of Supervisors?,"Members must make reasonable efforts to prevent violations of laws, rules, regulations, and the Code of Standards by anyone under their supervision.",EndOfLine
222,24,,Ethical and Professional Standards,2,What is Standard V (A): Diligence and Reasonable Basis?,"Members must: Exercise diligence, independence, and thoroughness in their professional activities; conduct adequate research and investigation in order to provide a reasonable basis for their conclusions, recommendations, or actions. NLNWhen using secondary or third-party research, a member must verify that the research is sound before acting upon it. If a member disagrees with the consensus in group research or decision-making, he does not have to refrain from being identified with the report, but he should document the difference in opinion.",EndOfLine
223,25,,Ethical and Professional Standards,2,What is Standard V (B): Communication with Clients and Prospective Clients?,Members must: Disclose their basic investment methods to clients and prospective clients and also communicate any changes that would affect those methods significantly; act with diligence and reasonable basis in identifying factors relevant to investment decisions and communicate these factors to clients and prospective clients; distinguish clearly between their own opinion and the facts when communicating their analyses and decisions to clients and prospective clients.,EndOfLine
224,26,,Ethical and Professional Standards,2,What is Standard V (C): Record Retention?,"Member must develop and maintain adequate records to support their professional investment activities and communications with clients and prospective clients. NLNMembers must maintain records of their research when it supports their decisions. These records are considered property of the firm. Without any other regulatory standard to abide by, members should retain records for at least 7 years according to CFA Institute recommendations.",EndOfLine
225,27,,Ethical and Professional Standards,2,What is Standard VI (A): Disclosure of Conflicts?,"Members must make full disclosure of all matters that could possibly impair their objectivity or independence with respect to their duties to clients and employer. Members must make such disclosures prominent and easy to understand in relevant communications. NLNThis disclosure allows clients and employers to judge motives and potential biases. Broker/dealer market-making activities should be included in such disclosures, as should ownership of stocks that the member recommends or are held by clients. Employers and clients must be given enough information to judge the full impact of potential conflicts.",EndOfLine
226,28,,Ethical and Professional Standards,2,What is Standard VI (B): Priority of Transactions?,Investment transactions for clients and employers must have priority over investment transactions in which a member is the beneficial owner. NLNNote that family-member accounts that are client accounts should be treated just like any other client account.,EndOfLine
227,29,,Ethical and Professional Standards,2,What is Standard VI (C): Referral Fees?,"Members must make full disclosure to employer and clients of any compensation or consideration to be received from others for the recommendation of products or services. NLNSuch disclosure allows the client and employer to fully judge the impartiality and independence of the advisor, or his or her full compensation.",EndOfLine
228,30,,Ethical and Professional Standards,2,What is Standard VII (A): Conduct as Members and Candidates in the CFA Program?,"Members must not engage in any conduct that compromises the reputation or integrity of the CFA Institute or the CFA designation. Candidates must not compromise the integrity of the CFA examinations. NLNMembers must not improperly use the CFA designation, disclose confidential information regarding the CFA program, cheat on the exam, and so on.",EndOfLine
229,31,,Ethical and Professional Standards,2,"What is Standard VII (B): Reference to CFA Institute, the CFA designation, and the CFA Program?","Members and candidates must not misrepresent or exaggerate the meaning of membership in the CFA Institute, holding the CFA designation, or candidacy in the CFA Program. There is no partial designation. The Chartered Financial Analyst and CFA marks must always be used either after a charterholder's name or as adjectives, but not as nouns.",EndOfLine
400,32,,Ethical and Professional Standards,4,State the disclosure required when the GIPS standards and local laws and regulations differ.,"The disclosure should conform to local laws and regulations, but firms must also describe the manner in which they conflict with GIPS standards.",EndOfLine
401,33,,Ethical and Professional Standards,4,Define the firm in the scope of the GIPS standards.,"A firm is defined as an investment firm, subsidiary, or division held out to clients and prospective clients as a distinct business entity.",EndOfLine
402,34,,Ethical and Professional Standards,4,Describe historical performance records and compliance in the scope of the GIPS standards.,"Historical performance records include: NLN1. Compliant historical data for a minimum of 5 years or since inception. NLN2. After the 5 years, the firm must add annual performance records for each year until a minimum of 10 years of data is had. NLN3. Non-GIPS-compliant performance records can be linked to a firm's compliant history so long as no noncompliant performance is presented after 1 January 2000 and the firm makes full disclosure of the impact in its presentation. NLN4. If a firm has previously claimed compliance with an Investment Performance Council-endorsed Country Version of GIPS (CVG), it is granted reciprocity to claim compliance with the GIPS standards for historical periods prior to 1 January 2006.",EndOfLine
403,35,,Ethical and Professional Standards,4,Name and characterize the eight major sections of the GIPS standards.,The eight major sections of the GIPS standards are: NLN1. Fundamentals of Compliance NLN2. Input Data NLN3. Calculation Methodology NLN4. Composite Construction NLN5. Disclosures NLN6. Presentation and Reporting NLN7. Real Estate NLN8. Private Equity,EndOfLine
404,36,,Ethical and Professional Standards,4,"What are the key guidelines in the Fundamentals of Compliance section of the GIPS standards, in regards to the firm (Requirements and Recommendations)??",a. Definition of the Firm – Requirements NLNb. Definition of the Firm – Recommendations NLNc. Policies and Procedures – Requirements NLNd. Claim of Compliance – Requirements NLNe. Firm Fundamental Responsibilities & Requirements  NLNf. Verification – Recommendations,EndOfLine
405,37,,Ethical and Professional Standards,4,Summarize the Fundamentals of Compliance section of the GIPS standards.,These are critical issues that a firm must consider when claiming compliance with the GIPS standards. The firm is defined in this section.,EndOfLine
406,38,,Ethical and Professional Standards,4,Summarize the Input Data section of the GIPS standards.,Consistency of input data is critical to effective compliance.,EndOfLine
407,39,,Ethical and Professional Standards,4,Summarize the Calculation Methodology section of the GIPS standards.,"Uniformity in methods used to calculate returns is required to achieve comparability among firms' performance presentations, portfolios, and composites.",EndOfLine
408,40,,Ethical and Professional Standards,4,Summarize the Composite Construction section of the GIPS standards.,"To achieve a fair presentation, it is necessary to create meaningful, asset-weighted composites.",EndOfLine
409,41,,Ethical and Professional Standards,4,Summarize the Disclosures section of the GIPS standards.,Firms must disclose certain information regarding their performance presentation and policies while providing context in which to understand their performance results.,EndOfLine
410,42,,Ethical and Professional Standards,4,Summarize the Presentation and Reporting section of the GIPS standards.,"Investment performance must be presented in accordance with GIPS standards, and firms must include other information not covered by the Standards when appropriate.",EndOfLine
411,43,,Ethical and Professional Standards,4,Summarize the Real Estate section of the GIPS standards.,These provisions apply to all real estate investments regardless of the level of control the firm has over management of the investment.,EndOfLine
412,44,,Ethical and Professional Standards,4,Summarize the Private Equity section of the GIPS standards.,Private equity investments other than open-end or evergreen funds must be valued according to the GIPS Private Equity Valuation Principles.,EndOfLine
413,45,,Ethical and Professional Standards,4,Describe the Definition of the Firm - Requirements part of the GIPS standards (Fundamentals of Compliance section).,"GIPS standards must be applied on a firm-wide basis; firms must be defined in presentation as a distinct business entity; total firm assets must include the market value of all discretionary and nondiscretionary assets under management, including both fee-paying and non-fee-paying assets; firms must include the performance of assets managed by a sub-advisor in a composite as long as the firm can select the sub-advisor; changes in a firm's organization are not permitted to lead to alteration of historical composite results.",EndOfLine
414,46,,Ethical and Professional Standards,4,Describe the Definition of the Firm - Recommendations part of the GIPS standards (Fundamentals of Compliance section).,"Firms should adopt broadest definition of firm, including all geographical offices operating under the same brand name.",EndOfLine
415,47,,Ethical and Professional Standards,4,Describe the Claim of Compliance - Requirements part of the GIPS standards (Fundamentals of Compliance section).,"The firm must use the following compliance statement when all GIPS requirements have been met: NLN“[Insert name of firm] has prepared and presented this report in compliance with the Global Investment Performance Standards (GIPS®).” The firm cannot claim compliance with just some of the GIPS standard; the firm cannot claim that any calculation methodologies are themselves “in compliance…”; the firm cannot refer to an individual, existing client as being “calculated in accordance with GIPS …etc.” unless a compliant firm is reporting results directly to an existing client.",EndOfLine
416,48,,Ethical and Professional Standards,4,Describe the Policies and Procedures - Requirements part of the GIPS standards (Fundamentals of Compliance section).,Firms must document the polices and procedures they use to maintain compliance.,EndOfLine
417,49,,Ethical and Professional Standards,4,Describe the Firm Fundamental Responsibilities - Requirements part of the GIPS standards (Fundamentals of Compliance section).,"Firms must provide a compliant presentation to all prospective clients. Firms must provide a composite list and composite description to all prospective clients that request them. Firms must list discontinued composites for at least five years; firms must provide a compliant presentation and description of any composite included in the firm's list; when jointly marketing with other firms, one firm that is GIPS compliant must be clearly defined as separate from noncompliant firms; firms are encouraged to comply with recommendations (not just requirements) and must be aware of updates, guidance statements, and so on.",EndOfLine
418,50,,Ethical and Professional Standards,4,Describe the Verification - Recommendations part of the GIPS standards (Fundamentals of Compliance section).,"Firms are encouraged to undertake the verification process by review by an independent third-party verifier, in which case a single verification report is issued in respect to the whole firm; verified firms should include the following disclosure: NLN“[Insert name of the firm] has been verified for the periods [insert dates] by [name of verifier]. A copy of the verification report is available upon request.”",EndOfLine
500,51,,Quantitative Methods,5,What is opportunity cost?,Opportunity cost measures the costs associated with forgone opportunities as capital (material and human capital) is employed in one project and therefore not available for other projects.,EndOfLine
501,52,,Quantitative Methods,5,What is a required rate of return?,This rate is the minimum rate of return a company should make on its own investments and operations. It is the combination of cost of debt and cost of equity. The required rate of return is therefore used often as the discount rate at which projected cash flows are discounted to determine the net present value of a project.,EndOfLine
502,53,,Quantitative Methods,5,What is a discount rate?,The discount rate is the interest rate used when discounting future cash flows in order to calculate net present value.,EndOfLine
503,54,,Quantitative Methods,5,"An interest rate is the sum of which of these: the real risk-free rate, the expected rate of inflation, risk premiums, and the effective annual rate?","An interest rate is the sum of a real-risk free rate, expected inflation, and risk premiums.",EndOfLine
504,55,Y,Quantitative Methods,5,"What is the formula for calculating the effective annual rate, when compounding a stated rate over a number of time periods?",The formula is:,EndOfLine
505,56,Y,Quantitative Methods,5,What is the formula for the present value (PV) of a single cash flow?,The formula is:,EndOfLine
506,57,Y,Quantitative Methods,5,What is the formula for the present value (PV) of an annuity?,The formula is:,EndOfLine
508,58,Y,Quantitative Methods,5,What is the formula for the future value (FV) of a single cash flow?,The formula is:,EndOfLine
509,59,Y,Quantitative Methods,5,What is the formula for the future value (FV) of an annuity?,The formula is:,EndOfLine
510,60,Y,Quantitative Methods,5,What is the formula for the future value (FV) of an annuity due?,The formula is:,EndOfLine
511,61,Y,Quantitative Methods,5,What is the formula for the present value (PV) of a perpetuity?,The formula is:,EndOfLine
513,62,Y,Quantitative Methods,5,What is the effective annual yield when a stated rate is continuously compounded?,The formula is:,EndOfLine
602,63,,Quantitative Methods,6,What problems arise when using IRR in the capital budgeting process?," IRR is flawed when used to prioritize mutually exclusive projects because it assumes that all cash flows can be reinvested at a discount rate equal to the IRR, which is not often a realistic discount rate. Therefore, prioritization is strongly impacted by the timing of cash flows.",EndOfLine
603,64,,Quantitative Methods,6,What is a holding period return?,"This rate of return is the total return on an asset, in nominal terms, over the entire period during which it was held.",EndOfLine
604,65,,Quantitative Methods,6,What is a money-weighted rate of return?,"The money-weighted rate of return is the discount rate applied to all cash flows and terminal values such that their discounted values equal the initial money amount invested. It is equivalent in concept to the internal rate of return. Note that more weight is given to larger cash flows, or to performance in periods when portfolio values are greatest.",EndOfLine
605,66,,Quantitative Methods,6,What is a time-weighted rate of return?,The time-weighted rate of return is the compounded growth rate of $1 invested over a period of time. It is essentially a geometric mean of all the periodic holding-period returns in that time.,EndOfLine
606,67,Y,Quantitative Methods,6,How do you calculate the time-weighted rate of return over several intervals of time?,The formula is:,EndOfLine
607,68,Y,Quantitative Methods,6,What is the bank discount yield for a U.S. Treasury bill?,"This is the annualized yield on a bank discount basis, which annualizes the discount as a percentage of face value (payment at maturity) based on a 360-day year.",EndOfLine
608,69,Y,Quantitative Methods,6,What is the effective annual yield of a U.S. Treasury bill?,The yield is:,EndOfLine
609,70,Y,Quantitative Methods,6,What is the holding period yield of a U.S. Treasury bill?,The yield is:,EndOfLine
610,71,Y,Quantitative Methods,6,What is the money market yield for a U.S. Treasury bill?,The yield is:,EndOfLine
612,72,,Quantitative Methods,6,How do you convert from an effective annual yield to a bond-equivalent yield?,"Find the semiannual YTM and double it. Remember, the bond-equivalent yield ignores semiannaual compounding.",EndOfLine
700,73,,Quantitative Methods,7,What is the different between descriptive statistics and inferential statistics?,Descriptive statistics are used to describe the main features of a collection of data in quantitative terms; they are meant to characterize just the particular sample set used to derive them. NLNInferential statistics are used to support inferential statements about the whole population that the sample is meant to represent.,EndOfLine
701,74,,Quantitative Methods,7,"What is the difference between a population and a sample, in reference to statistics?","A population is theoretically the entire set of common observations pertaining to a statistical analysis. Where a population is too large to query, a subset or sample is used in analysis to approximate the characteristics of the whole population.",EndOfLine
702,75,,Quantitative Methods,7,"What is a parameter, in reference to statistics?","A parameter is a numerical summary of an entire population, such as a mean or standard deviation. Sample statistics are used to approximate parameter values.",EndOfLine
703,76,,Quantitative Methods,7,What is a sample statistic?,"A sample statistic, or simply a statistic, is any numerical measure computed from a subset of a population (a sample).",EndOfLine
704,77,,Quantitative Methods,7,What is a frequency distribution?,"This is a tabulation of the values of all the observations in a sample. It is a listing of the frequency with which the objects of a set take on a particular value. Typically, the tabulation distributes the observations into a series of consecutive ranges.",EndOfLine
705,78,,Quantitative Methods,7,What is a histogram?,"In statistics, a histogram is a graphical display of tabulated frequencies, shown as bars. It shows what proportion of events fall into each of several categories (each category usually representing a range of values).",EndOfLine
706,79,,Quantitative Methods,7,How do you calculate a population mean?,"A population mean is the expected value of a random variable. For a data set, the mean is the sum of the observations divided by the number of observations.",EndOfLine
707,80,Y,Quantitative Methods,7,How do you calculate a geometric mean?,The formula is:,EndOfLine
708,81,Y,Quantitative Methods,7,How do you calculate a harmonic mean?,"First sum the reciprocals of all observations; then, divide the result by the number of observations. The reciprocal of that value is the harmonic mean. See the equation below:",EndOfLine
709,82,,Quantitative Methods,7,How do you find the median of a sample or population?,The median of a sample or finite population lies in the (n+1)/2 position after the set has been sorted.,EndOfLine
710,83,,Quantitative Methods,7,How do you calculate the mode of a sample or population?,The mode is the value with the most number of observations in the sample or population.,EndOfLine
711,84,,Quantitative Methods,7,What is a quartile for a given set?,"A quartile is any of the three values which divide the sorted observations into four equal parts, so that each part represents one fourth of the samples population.",EndOfLine
712,85,Y,Quantitative Methods,7,How do you calculate the mean absolute deviation of a sample?,The formula is:,EndOfLine
713,86,,Quantitative Methods,7,How do you calculate the range of a sample?,The range of a set is the difference between the highest value and the lowest value in that set.,EndOfLine
5009,87,Y,Quantitative Methods,7,How do you calculate the variance of a sample?,The formula is:,EndOfLine
715,88,Y,Quantitative Methods,7,How do you calculate the standard deviation of a sample?,The formula is:,EndOfLine
716,89,Y,Quantitative Methods,7,What is Chebyshev's inequality?,"This says that if X is a random variable with some standard deviation, then the following is true:",EndOfLine
717,90,,Quantitative Methods,7,What proportion of observations will fall within 1.96 standard deviations of a sample mean?,95% of the area under the normal distribution lies within 1.96 standard deviations of the mean.,EndOfLine
718,91,Y,Quantitative Methods,7,What is the Sharpe ratio?,"The Sharpe ratio for a portfolio, based on historical returns is:",EndOfLine
719,92,,Quantitative Methods,7,What is mean excess return?,Mean excess return is the mean return of the portfolio minus the mean return to risk free assets.,EndOfLine
720,93,Y,Quantitative Methods,7,What is the coefficient of variation?,This is the ratio of standard deviation to mean value.,EndOfLine
721,94,,Quantitative Methods,7,What is skewness?,Skewness is a measure of the asymmetry of the probability distribution of a real-valued random variable.,EndOfLine
722,95,,Quantitative Methods,7,What is the meaning of a negatively skewed return distribution?,This means that the left tail of the distribution is longer. The bulk of the distribution is concentrated on the right side of the figure. There are relatively few low values.,EndOfLine
723,96,,Quantitative Methods,7,What is the meaning of a positively skewed return distribution?,This means that the right tail of the distribution is longer. The bulk of the distribution is concentrated on the left side of the figure. There are relatively few high values.,EndOfLine
724,97,,Quantitative Methods,7,"Typically, what are the relative locations of the mean, median, and mode for a negatively skewed return distribution?","With few exceptions, the mean is left of the median, which is left of the mode, in a negatively skewed distribution.",EndOfLine
725,98,,Quantitative Methods,7,What is kurtosis?,Kurtosis is a measure of the “peakedness” of the probability distribution of a real-valued random variable. Higher kurtosis means more of the variance is due to infrequent extreme deviations as opposed to frequent modestly-sized deviations.,EndOfLine
726,99,,Quantitative Methods,7,What is kurtosis for all normal distributions?,"For normal distributions, kurtosis is 3.",EndOfLine
727,100,,Quantitative Methods,7,What is excess kurtosis?,Excess kurtosis is the kurtosis value of a set minus 3.,EndOfLine
800,101,,Quantitative Methods,8,What is a discrete random variable?,"A discrete random variable maps the values of a set of events, each value having a probability of occurrence.",EndOfLine
801,102,,Quantitative Methods,8,"What is an outcome versus an event, when referring to probability?",An event is a specified set of outcomes.,EndOfLine
802,103,,Quantitative Methods,8,What are mutually exclusive events?,Two events are mutually exclusive if they cannot occur at the same time (i.e. they have no common outcomes).,EndOfLine
803,104,,Quantitative Methods,8,What are exhaustive events?,"A set of events is jointly or collectively exhaustive if at least one of the events must occur. For instance, when rolling a six-sided die, the outcomes 1,2,3,4,5, and 6 are collectively exhaustive.",EndOfLine
804,105,,Quantitative Methods,8,What is empirical probability?,"This is the ratio of the number of favorable outcomes to the total number of trials, not in a sample space but in an actual sequence of experiments. Empirical probability estimates probabilities from actual observation, and so it is relatively free of assumptions.",EndOfLine
805,106,,Quantitative Methods,8,What is subjective probability?,"This is a probability measure derived from an individual's personal judgment about the outcome of a given scenario. It is a reflection of that person's own opinions and past experiences. It contains a high degree of personal bias, and there are no formal calculations involved. ",EndOfLine
806,107,,Quantitative Methods,8,What is a priori probability?,"This type of probability is derived purely by deductive reasoning. For instance, if there is a set of N events and each is equally likely, then the probability of a given event is 1/N, and the probability of a given collection of K events is K/N.",EndOfLine
807,108,,Quantitative Methods,8,"If the probability of an event is .75, what are the odds for and against the event?","The odds for the event are 3-to-1, and the odds against it are 1-to-3.",EndOfLine
808,109,,Quantitative Methods,8,What is a conditional probability?,"This is the probability of some event A, given the occurrence of some other event B. Such a conditional probability would be written P(A|B).",EndOfLine
809,110,,Quantitative Methods,8,What is an unconditional probability?,"This probability measure assumes that the likelihood of one event occurring is not contingent on any prior or related results. Thus, it is considered to be the independent chance that a single outcome occurs amongst a sample of possible outcomes.",EndOfLine
810,111,Y,Quantitative Methods,8,How do you calculate the joint probability of two or more events?,The formula is:,EndOfLine
813,112,,Quantitative Methods,8,What are independent events?,"Two events A and B are independent if and only if P(A|B) = P(A) or, equivalently, P(B|A) = P(B)",EndOfLine
814,113,,Quantitative Methods,8,What is the total probability rule?,"The probabilities of all mutually exclusive and exhaustive scenarios must sum to 1. Also, the probability of an event plus the probability of its complement must equal 1.",EndOfLine
5012,114,Y,Quantitative Methods,8,What is covariance?,Covariance is a measure of how much two variables change together.,EndOfLine
817,115,,Quantitative Methods,8,What is correlation?,"Correlation indicates the strength and direction of a relationship between two random variables. Correlation is typically measured by the correlation coefficient, ranging from -1 (indicating a decreasing linear relationship) to 1 (indicating an increasing linear relationship). The closer the coefficient is to either -1 or 1, the stronger the correlation between the variables.",EndOfLine
5013,116,Y,Quantitative Methods,8,What is the correlation coefficient between two random variables in terms of covariance?,The correlation coefficient is defined as:,EndOfLine
819,117,Y,Quantitative Methods,8,What is the variance of a random variable?,The variance of a random variable is the probability-weighted average of squared deviations from the random variable's expected value:,EndOfLine
820,118,,Quantitative Methods,8,When does E(XY) = E(X)E(Y)?,This equation holds true only when X and Y are uncorrelated.,EndOfLine
821,119,Y,Quantitative Methods,8,What is Bayes' formula?,"Bayes' formula should be used in circumstances when the conditional probability of event A given B must be derived from the converse conditional probability of B given A. In the formula below, P(A) is the prior probability in the sense that it does not take into account any information about event B; P(A|B) is called the posterior probability because it is derived from the specified value of B. The formula is:",EndOfLine
823,120,Y,Quantitative Methods,8,What is combination formula?,"The combination formula calculates the number of ways that k objects can be chosen from a total of n objects, when the order in which the k objects are listed does not matter:",EndOfLine
824,121,Y,Quantitative Methods,8,What is permutation formula?,"The permutation formula calculates the number of ways that we can choose k objects from a total of n objects, when the order in which the k objects are listed does matter:",EndOfLine
825,122,,Quantitative Methods,8,What is standard deviation?,Standard deviation is the positive square root of variance.,EndOfLine
826,123,,Quantitative Methods,8,What is the definition of expected value?,The expected value of a random variable is the probability-weighted average of the possible outcomes of the random variable. ,EndOfLine
827,124,,Quantitative Methods,8,What is the addition rule for probabilities?,"The addition rule for probabilities states that the probability that event A or B occurs, or both occur, is equal to the probability that A occurs, plus the probability that B occurs, minus the joint probability that both A and B occur. NLNP(A or B) = P(A) + P(B) - P(AB)",EndOfLine
828,125,,Quantitative Methods,8,"If events A and B are independent events, what is P(A|B)?","If events A and B are independent events, NLNP(A|B) = P(A)",EndOfLine
829,126,,Quantitative Methods,8,What is the multiplication rule for independent events?,"If events A and B are independent events, NLNP(AB) = P(A) x P(B)",EndOfLine
830,127,,Quantitative Methods,8,What is the general multiplication rule in statistics?,The multiplication rule is:NLNP(AB) = P(A|B)P(B) = P(B|A)P(A),EndOfLine
831,128,,Quantitative Methods,8,What is the sum of the joint probability of events A and S plus the joint probability of events A and the complement of S?,The sum equals the probability of A.,EndOfLine
832,129,,Quantitative Methods,8,"What is a priori knowledge, in statistics?","A priori knowledge is a prior knowledge about a population, not yet supported by observation.",EndOfLine
900,130,,Quantitative Methods,9,What is a probability distribution?,A probability distribution identifies the probabilities of possible outcomes of a random variable.,EndOfLine
901,131,,Quantitative Methods,9,What is a random variable?,A random variable is an uncertain value that changes every time it is inspected. The possible outcomes are spread out over a sample space.,EndOfLine
902,132,,Quantitative Methods,9,What is the difference between discrete and continuous random variables?,"A discrete random variable maps events to values of a countable set, while a continuous random variable maps events to values of an uncountable set.",EndOfLine
903,133,,Quantitative Methods,9,What is a cumulative distribution function?,A cumulative distribution function completely describes the probability distribution of a real-value random variable X. The function gives the probability that a random variable X is less than or equal to a particular value x.,EndOfLine
904,134,,Quantitative Methods,9,What is a probability density function?,"A probability distribution identifies the probabilities of possible outcomes of a random variable, such that: NLNp(x) = P(X = x)",EndOfLine
905,135,Y,Quantitative Methods,9,What is a discrete uniform variable?,A discrete uniform variable is a discrete probability distribution that can be characterized by saying that all values of a finite set of possible values are equally probable. The probability for each of n outcomes is 1/n.NLNThe cumulative distribution function of a discrete uniform variable looks like this:,EndOfLine
906,136,Y,Quantitative Methods,9,What is a binomial random variable?,"The binomial distribution is the discrete probability distribution of the number of successes in a sequence of n independent yes/no experiments, each of which yields success with probability p. This is also called a Bernoulli trial, and the probability density function is, for the probability of k successes in n trials:",EndOfLine
